Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,55.6708374,0
2,Leach_field,5,1,53.48167038,0
3,Leach_field,5,1,52.18038177,0
4,Control,5,1,53.34083557,0
5,Control,5,1,54.87333679,0
6,Control,5,1,55.45202255,0
1,Leach_field,600,1,54.27575302,0
2,Leach_field,600,1,52.79417419,0
3,Leach_field,600,1,54.6878624,0
4,Control,600,1,55.53208542,0
5,Control,600,1,56.90885544,0
6,Control,600,1,56.27659988,0
1,Leach_field,1200,1,59.40166855,0
2,Leach_field,1200,1,57.88062668,0
3,Leach_field,1200,1,57.97091293,0
4,Control,1200,1,57.58062744,0
5,Control,1200,1,53.6791687,0
6,Control,1200,2,52.09500122,0
1,Leach_field,1800,2,58.15977859,0
2,Leach_field,1800,2,57.27919769,0
3,Leach_field,1800,2,57.27314758,0
4,Control,1800,2,55.14474487,0
5,Control,1800,2,55.78482819,0
6,Control,1800,2,55.97413254,0
