Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,3.502907753,0
2,Leach_field,5,1,3.404839516,0
3,Leach_field,5,1,3.627889395,0
4,Control,5,1,3.574749947,0
5,Control,5,1,3.584527969,0
6,Control,5,1,3.562705755,0
1,Leach_field,600,1,3.380727053,0
2,Leach_field,600,1,3.370613575,0
3,Leach_field,600,1,3.660802126,0
4,Control,600,1,3.505245686,0
5,Control,600,1,3.489396095,0
6,Control,600,1,3.37828207,0
1,Leach_field,1200,1,3.334524632,0
2,Leach_field,1200,1,3.310467005,0
3,Leach_field,1200,1,3.403751135,0
4,Control,1200,1,3.638650417,0
5,Control,1200,1,3.470814228,0
6,Control,1200,1,3.457691431,0
1,Leach_field,1800,1,3.180094242,0
2,Leach_field,1800,1,3.184028149,0
3,Leach_field,1800,1,3.248842478,0
4,Control,1800,1,3.246861935,0
5,Control,1800,1,3.231236935,0
6,Control,1800,1,3.235322475,0
