Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,3.99572444,0
2,Leach_field,5,1,3.871898651,0
3,Leach_field,5,1,3.851822138,0
4,Control,5,1,3.839361429,0
5,Control,5,1,3.75213933,0
6,Control,5,1,4.242488384,0
1,Leach_field,600,1,3.747671127,0
2,Leach_field,600,1,3.878414154,0
3,Leach_field,600,1,4.415978909,0
4,Control,600,1,3.803995371,0
5,Control,600,1,4.02808094,0
6,Control,600,1,3.94374299,0
1,Leach_field,1200,1,3.935714483,0
2,Leach_field,1200,1,4.331727028,0
3,Leach_field,1200,1,3.940812349,0
4,Control,1200,1,4.038492203,0
5,Control,1200,1,4.000735283,0
6,Control,1200,2,3.996973991,0
1,Leach_field,1800,2,4.422468185,0
2,Leach_field,1800,2,4.38560009,0
3,Leach_field,1800,2,4.143774986,0
4,Control,1800,2,NA,0
5,Control,1800,2,4.371869087,0
6,Control,1800,2,3.767142296,0
